flag_gfw,total_vessels,mmsi,length_m_gfw,tonnage_gt_gfw,2018,2019,2020
ABW,1,307005349,17.01,38.09,0.0,0.0,0.0
AFG,4,1604047873,82.99000000000001,283.25,695.93,307.69,36.09
AGO,37,22314612593,1551.17,20662.97,81358.5,64214.36,72042.15
ALB,34,6841228074,937.33,5882.4,14351.03,33863.05,31776.15
ARE,1,470100533,35.73,372.83,0.0,97.15,0.0
ARG,452,315765238304,19193.35,210740.48,572295.73,599619.88,529308.37
ATF,2,1253635509,106.18,1423.69,414.11,222.07,0.0
AUS,299,150480924791,7631.22,46655.36,232456.38,246545.49,221798.3
AZE,1,423005775,17.46,18.97,0.0,70.81,138.81
BEL,101,20952710220,2682.97,17136.04,140055.91,137776.0,143944.56
BES,2,613026000,60.9,610.5999999999999,0.0,0.0,0.0
BGR,93,19321934810,1607.89,3402.26,26292.54,56111.46,60383.28
BHR,287,117355150708,6999.41,15696.57,96247.79,32415.75,42932.19
BLZ,30,9591436472,1884.1,59346.16,23889.54,24591.35,28915.85
BMU,2,620997589,87.78,1400.18,0.0,1964.12,2761.75
BOL,1,720028077,18.51,34.47,253.46,0.0,0.0
BRA,264,186449796235,5897.3,31583.77,232746.13,356353.92,337777.89
BRN,1,508888224,17.39,53.98,0.0,87.42,0.0
CAN,1358,429154178740,25556.36,151350.87,487108.52,556728.14,542278.0
CHE,2,539032370,37.269999999999996,44.18,0.0,158.12,0.0
CHL,104,75399275141,4932.33,95989.17,82376.06999999999,86037.26,75349.47
CHN,73945,33904384274682,1714354.66,8083731.45,17984788.43,19959099.23,17733860.16
CIV,4,1958128669,195.53,2297.42,5759.35,11505.94,12791.029999999999
CMR,23,13746322415,1449.45,50122.5,4477.91,30096.08,53690.92
COK,23,12013854703,954.0,15369.3,42509.229999999996,50946.54,53942.68
COL,19,13871283156,1049.84,19647.7,20357.93,19894.14,18892.76
COM,14,8655124636,1001.16,20943.239999999998,2345.0,0.0,0.0
CPV,7,4319530000,427.12,9969.27,1026.05,1261.57,746.13
CRI,1,321321362,26.52,118.83,0.0,1640.67,0.0
CUB,3,969249012,201.0,9814.0,0.0,0.0,41.72
CUW,8,2449378000,613.23,16272.0,6217.12,5001.66,4837.3
CYM,1,319102600,21.26,42.16,0.0,0.0,0.0
CYP,40,8610952033,973.74,8595.02,32231.14,40353.34,41407.700000000004
CZE,1,270517000,18.57,26.84,0.0,0.0,0.0
DEU,345,72705131742,7946.94,77412.3,226824.68,212150.75,211890.62
DJI,4,2485638077,169.15,1888.06,2310.3,0.0,0.0
DMA,3,976059000,280.01,12227.84,0.0,0.0,0.0
DNK,754,167064147460,15752.0,133757.1,598278.31,598496.86,560968.44
