flag_gfw,vessel_class_gfw,mmsi,length_m_gfw,tonnage_gt_gfw,fishing_hours_2018,fishing_hours_2019,fishing_hours_2020
ABW,trawlers,1,1,1,1,1,1
AFG,fishing,2,2,2,2,2,2
AFG,set_longlines,1,1,1,1,1,1
AFG,trawlers,1,1,1,1,1,1
AGO,fishing,3,3,3,3,3,3
AGO,other_purse_seines,7,7,7,7,7,7
AGO,purse_seines,2,2,2,2,2,2
AGO,set_longlines,1,1,1,1,1,1
AGO,trawlers,21,21,21,21,21,21
AGO,tuna_purse_seines,3,3,3,3,3,3
ALB,drifting_longlines,4,4,4,4,4,4
ALB,fishing,1,1,1,1,1,1
ALB,other_purse_seines,4,4,4,4,4,4
ALB,squid_jigger,3,3,3,3,3,3
ALB,trawlers,22,22,22,22,22,22
ARE,trawlers,1,1,1,1,1,1
ARG,fishing,34,33,34,34,34,34
ARG,fixed_gear,1,1,1,1,1,1
ARG,set_longlines,6,6,6,6,6,6
ARG,squid_jigger,79,79,79,79,79,79
ARG,trawlers,331,331,331,331,331,331
ARG,tuna_purse_seines,1,1,1,1,1,1
ATF,squid_jigger,1,1,1,1,1,1
ATF,tuna_purse_seines,1,1,1,1,1,1
AUS,dredge_fishing,2,2,2,2,2,2
AUS,drifting_longlines,28,28,28,28,28,28
AUS,fishing,64,64,64,64,64,64
AUS,fixed_gear,3,3,3,3,3,3
AUS,other_purse_seines,4,4,4,4,4,4
AUS,pole_and_line,24,24,24,24,24,24
AUS,pots_and_traps,5,5,5,5,5,5
AUS,purse_seines,1,1,1,1,1,1
AUS,set_gillnets,12,12,12,12,12,12
AUS,set_longlines,24,24,24,24,24,24
AUS,trawlers,129,129,129,129,129,129
AUS,trollers,1,1,1,1,1,1
AUS,tuna_purse_seines,2,2,2,2,2,2
AZE,trawlers,1,1,1,1,1,1
BEL,dredge_fishing,3,3,3,3,3,3
BEL,drifting_longlines,1,1,1,1,1,1
BEL,fishing,7,7,7,7,7,7
BEL,fixed_gear,1,1,1,1,1,1
BEL,other_seines,2,2,2,2,2,2
BEL,pole_and_line,1,1,1,1,1,1
BEL,pots_and_traps,1,1,1,1,1,1
BEL,set_gillnets,4,4,4,4,4,4
BEL,trawlers,81,81,81,81,81,81
BES,set_gillnets,1,1,1,1,1,1
BES,trawlers,1,1,1,1,1,1
BGR,dredge_fishing,1,1,1,1,1,1
BGR,fishing,27,27,27,27,27,27
BGR,fixed_gear,2,2,2,2,2,2
BGR,set_gillnets,13,13,13,13,13,13
BGR,set_longlines,1,1,1,1,1,1
BGR,trawlers,49,49,49,49,49,49
BHR,dredge_fishing,3,3,3,3,3,3
BHR,fishing,143,143,143,143,143,143
BHR,fixed_gear,1,1,1,1,1,1
BHR,other_purse_seines,25,25,25,25,25,25
BHR,pole_and_line,7,7,7,7,7,7
BHR,purse_seines,1,1,1,1,1,1
BHR,set_gillnets,21,21,21,21,21,21
BHR,set_longlines,76,76,76,76,76,76
BHR,trawlers,7,7,7,7,7,7
BHR,tuna_purse_seines,3,3,3,3,3,3
BLZ,drifting_longlines,5,5,5,5,5,5
BLZ,fishing,5,5,5,5,5,5
BLZ,squid_jigger,1,1,1,1,1,1
BLZ,trawlers,9,9,9,9,9,9
BLZ,tuna_purse_seines,10,10,10,10,10,10
BMU,drifting_longlines,1,1,1,1,1,1
BMU,tuna_purse_seines,1,1,1,1,1,1
BOL,trawlers,1,1,1,1,1,1
BRA,drifting_longlines,47,47,47,47,47,47
BRA,fishing,19,19,19,19,19,19
BRA,fixed_gear,1,1,1,1,1,1
BRA,other_purse_seines,2,2,2,2,2,2
BRA,pole_and_line,8,8,8,8,8,8
BRA,set_gillnets,4,4,4,4,4,4
BRA,set_longlines,39,39,39,39,39,39
BRA,trawlers,142,142,142,142,142,142
BRA,trollers,2,2,2,2,2,2
BRN,trawlers,1,1,1,1,1,1
CAN,dredge_fishing,19,19,19,19,19,19
CAN,drifting_longlines,23,23,23,23,23,23
CAN,fishing,359,249,358,359,359,359
CAN,fixed_gear,99,99,99,99,99,99
CAN,other_purse_seines,92,92,92,92,92,92
CAN,other_seines,2,2,2,2,2,2
CAN,pole_and_line,59,59,59,59,59,59
CAN,pots_and_traps,83,77,83,83,83,83
CAN,purse_seines,5,5,5,5,5,5
CAN,set_gillnets,190,190,190,190,190,190
CAN,set_longlines,135,135,135,135,135,135
CAN,trawlers,206,205,206,206,206,206
CAN,trollers,85,85,85,85,85,85
CAN,tuna_purse_seines,1,1,1,1,1,1
CHE,trawlers,2,2,2,2,2,2
CHL,drifting_longlines,1,1,1,1,1,1
CHL,fishing,8,8,8,8,8,8
CHL,other_purse_seines,18,18,18,18,18,18
CHL,purse_seines,6,6,6,6,6,6
CHL,set_longlines,16,16,16,16,16,16
CHL,trawlers,11,11,11,11,11,11
CHL,tuna_purse_seines,44,44,44,44,44,44
CHN,dredge_fishing,1275,1275,1275,1275,1275,1275
CHN,drifting_longlines,654,654,654,654,654,654
CHN,fishing,13651,13651,13651,13651,13651,13651
CHN,fixed_gear,3424,3424,3424,3424,3424,3424
CHN,other_purse_seines,1529,1529,1529,1529,1529,1529
